student_id,gender,department,year,latitude,longitude,budget_min,budget_max,price_sensitivity,max_distance_km,needs_transport,preferred_type,preferred_room_type,food_preference,study_preference,social_preference,comfort_preference,noise_tolerance,curfew_flexibility,must_have_amenities,priority_wifi,priority_gym,priority_study_room,priority_cafeteria,priority_laundry,priority_ac,priority_hot_water,priority_generator,ethnicity,home_city,languages,university,degree,smoking_pref,cleanliness_level,sleep_schedule,guest_policy,sharing_pref,personality,study_habits,job_title,company,priority_parking,priority_security_guard,priority_prayer_room,work_schedule,work_from_home,years_experience,is_professional,resident_type
STU-131,Female,Software Engineering,4,33.641848,72.993958,12804,35020,0.23,6.2,1,Girls,Dormitory,Both,0.43,0.57,0.88,0.33,0.11,"[""Hot Water""]",0,0.0,0.0,0.0,0,0,1,0,Pathan,Peshawar,"Urdu, English, Pashto",FAST NUCES,Software Engineering,Non-smoker,3,Night owl,No guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-132,Female,Software Engineering,4,33.739186,73.084195,9541,34466,0.4,4.4,1,Girls,Single,Veg,0.81,0.19,0.32,0.47,0.29,"[""Parking"", ""Cafeteria""]",0,0.0,0.0,1.0,0,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi",FAST NUCES,Software Engineering,Non-smoker,2,Early bird,Occasional guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-133,Female,Computer Science,3,33.730108,73.098868,10615,31631,0.71,3.9,1,Girls,Single,Veg,0.06,0.94,0.48,0.52,0.98,"[""Lounge""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi",COMSATS,Computer Science,Don't mind,5,Night owl,Frequent guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-134,Female,Electrical Engineering,2,33.641898,72.999859,13005,27974,0.91,5.8,1,Girls,Double,Non-Veg,0.2,0.8,0.19,0.42,0.45,"[""Generator"", ""Refrigerator"", ""Lounge""]",0,0.0,0.0,0.0,0,0,0,1,Balochi,Zhob,"Urdu, English, Balochi",FAST NUCES,Electrical Engineering,Non-smoker,3,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-135,Female,Data Science,2,33.729563,73.09781,11745,30679,0.33,6.6,1,Girls,Single,Both,0.91,0.09,0.28,0.48,0.18,"[""Refrigerator""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",NUST,Data Science,Non-smoker,5,Early bird,Frequent guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-136,Male,Data Science,2,33.728864,73.056535,11521,19748,0.8,0.7,0,Boys,Double,Veg,0.01,0.99,0.53,0.48,0.68,"[""Cafeteria"", ""Rooftop Access""]",0,0.0,0.0,1.0,0,0,0,0,Gilgiti,Ghizer,"Urdu, English, Shina, Burushaski",FAST NUCES,Data Science,Non-smoker,4,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-137,Female,Civil Engineering,1,33.726944,73.101167,10255,15257,0.38,2.2,0,Girls,Dormitory,Non-Veg,0.05,0.95,0.28,0.72,0.86,"[""Laundry"", ""Hot Water"", ""Rooftop Access"", ""WiFi""]",1,0.0,0.0,0.0,1,0,1,0,Gilgiti,Hunza,"Urdu, English, Shina, Burushaski",FAST NUCES,Civil Engineering,Non-smoker,5,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-138,Female,BBA,1,33.689726,73.047859,11694,32529,0.29,1.5,0,Girls,Single,Non-Veg,0.05,0.95,0.38,0.51,0.32,"[""CCTV"", ""Cafeteria""]",0,0.0,0.0,1.0,0,0,0,0,Balochi,Quetta,"Urdu, English, Balochi",FAST NUCES,BBA,Non-smoker,4,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-139,Female,Computer Science,2,33.728816,73.087079,10646,21020,0.47,3.2,0,Girls,Dormitory,Both,0.69,0.31,0.88,0.04,0.8,"[""Hot Water"", ""Generator""]",0,0.0,0.0,0.0,0,0,1,1,Punjabi,Gujranwala,"Urdu, English, Punjabi",COMSATS,Computer Science,Non-smoker,2,Early bird,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-140,Male,Social Sciences,2,33.685995,73.051241,9076,29039,0.21,5.7,1,Boys,Single,Both,0.35,0.65,0.25,0.81,0.28,"[""Laundry"", ""Study Room"", ""Security Guard""]",0,0.0,1.0,0.0,1,0,0,0,Pathan,Abbottabad,"Urdu, English, Pashto",FAST NUCES,Social Sciences,Non-smoker,4,Night owl,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-141,Male,Civil Engineering,4,33.7248,73.044095,7810,24473,0.86,2.1,0,Boys,Double,Non-Veg,0.08,0.92,0.92,1.0,0.15,"[""Rooftop Access"", ""Generator"", ""CCTV""]",0,0.0,0.0,0.0,0,0,0,1,Pathan,Kohat,"Urdu, English, Pashto",FAST NUCES,Civil Engineering,Non-smoker,2,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-142,Female,Data Science,3,33.649864,72.9985,13459,32175,0.52,3.1,0,Girls,Dormitory,Veg,0.65,0.35,0.68,0.78,0.13,"[""Prayer Room"", ""Iron""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",FAST NUCES,Data Science,Non-smoker,5,Night owl,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-143,Female,Computer Science,4,33.723829,73.099212,6306,21619,0.76,1.7,0,Girls,Double,Non-Veg,0.37,0.63,0.45,0.04,0.31,"[""Water Cooler"", ""Cafeteria"", ""Iron"", ""Rooftop Access""]",0,0.0,0.0,1.0,0,0,0,0,Sindhi,Mirpur Khas,"Urdu, English, Sindhi",FAST NUCES,Computer Science,Non-smoker,5,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-144,Male,Cyber Security,2,33.694323,73.041724,8036,20634,0.7,2.0,0,Boys,Single,Veg,0.89,0.11,0.11,0.77,0.49,"[""Lounge"", ""CCTV"", ""Parking""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi",FAST NUCES,Cyber Security,Non-smoker,5,Early bird,No guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-145,Female,Cyber Security,4,33.715653,73.047117,9537,15782,0.89,5.5,1,Girls,Single,Non-Veg,0.07,0.93,0.51,0.08,0.31,"[""Parking"", ""Common Room""]",0,0.0,0.0,0.0,0,0,0,0,Balochi,Gwadar,"Urdu, English, Balochi",FAST NUCES,Cyber Security,Smoker,4,Night owl,No guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-146,Female,BBA,2,33.719236,73.044189,9507,19337,0.1,2.3,0,Girls,Double,Non-Veg,0.82,0.18,0.48,0.99,0.77,"[""Lounge""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",FAST NUCES,BBA,Smoker,4,Early bird,No guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-147,Male,BBA,4,33.728827,73.086616,14116,28911,0.64,3.2,0,Boys,Single,Both,0.78,0.22,0.87,0.08,0.92,"[""Water Cooler""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi",FAST NUCES,BBA,Smoker,4,Early bird,Occasional guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-148,Male,Software Engineering,4,33.713415,73.043244,14476,36746,0.97,3.4,0,Boys,Dormitory,Non-Veg,0.76,0.24,0.86,0.11,0.95,"[""Parking"", ""Laundry"", ""Common Room"", ""Water Cooler""]",0,0.0,0.0,0.0,1,0,0,0,Gilgiti,Skardu,"Urdu, English, Shina, Burushaski, Saraiki",FAST NUCES,Software Engineering,Non-smoker,2,Early bird,No guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-149,Male,Software Engineering,2,33.723238,73.046581,8081,18529,0.63,6.3,1,Boys,Double,Veg,0.37,0.63,0.39,0.25,0.98,"[""Hot Water"", ""Lounge"", ""Gym"", ""Common Room""]",0,1.0,0.0,0.0,0,0,1,0,Pathan,Kohat,"Urdu, English, Pashto",FAST NUCES,Software Engineering,Don't mind,4,Night owl,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-150,Female,Computer Science,2,33.689297,73.039493,7580,20012,0.05,2.2,0,Girls,Single,Both,0.19,0.81,0.1,0.88,0.53,"[""Library"", ""Gym"", ""Parking""]",0,1.0,0.0,0.0,0,0,0,0,Pathan,Swat,"Urdu, English, Pashto",FAST NUCES,Computer Science,Non-smoker,2,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-151,Female,Social Sciences,4,33.685348,73.039185,12600,22767,0.91,2.3,0,Girls,Double,Both,0.95,0.05,0.83,0.3,0.79,"[""Security Guard""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi, Arabic",FAST NUCES,Social Sciences,Non-smoker,5,Early bird,Occasional guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-152,Male,Electrical Engineering,4,33.655553,72.994937,5045,11238,0.05,3.9,1,Boys,Single,Non-Veg,0.3,0.7,0.27,0.65,0.53,"[""Hot Water"", ""Study Room""]",0,0.0,1.0,0.0,0,0,1,0,Sindhi,Karachi,"Urdu, English, Sindhi",Air University,Electrical Engineering,Non-smoker,4,Night owl,Occasional guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-153,Female,Social Sciences,3,33.723511,73.053447,6845,25787,0.85,3.7,1,Girls,Double,Non-Veg,0.51,0.49,0.48,0.37,0.49,"[""Common Room"", ""Parking"", ""Prayer Room""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Swat,"Urdu, English, Pashto",FAST NUCES,Social Sciences,Non-smoker,2,Early bird,Occasional guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-154,Female,Software Engineering,4,33.715967,73.043161,14404,32155,0.72,6.4,1,Girls,Single,Non-Veg,0.67,0.33,0.08,0.18,0.59,"[""Study Room"", ""Cafeteria"", ""Common Room"", ""Hot Water""]",0,0.0,1.0,1.0,0,0,1,0,Pathan,Kohat,"Urdu, English, Pashto, Saraiki",COMSATS,Software Engineering,Non-smoker,4,Early bird,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-155,Female,Social Sciences,2,33.722411,73.092481,7666,18634,0.86,6.3,1,Girls,Single,Non-Veg,0.69,0.31,0.3,0.19,0.12,"[""Laundry"", ""CCTV""]",0,0.0,0.0,0.0,1,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi",FAST NUCES,Social Sciences,Non-smoker,3,Night owl,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-156,Female,Electrical Engineering,2,33.721412,73.089293,8022,31266,0.08,1.7,0,Girls,Double,Veg,0.65,0.35,0.13,0.64,0.34,"[""Laundry"", ""Generator"", ""Study Room""]",0,0.0,1.0,0.0,1,0,0,1,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Electrical Engineering,Non-smoker,2,Night owl,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-157,Female,Social Sciences,3,33.645273,72.99634,14044,26444,0.83,2.2,0,Girls,Double,Veg,0.65,0.35,0.7,0.29,0.34,"[""Parking"", ""Generator"", ""Laundry""]",0,0.0,0.0,0.0,1,0,0,1,Punjabi,Faisalabad,"Urdu, English, Punjabi",Air University,Social Sciences,Non-smoker,2,Night owl,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-158,Male,Social Sciences,2,33.71956,73.085002,10080,30551,0.21,3.1,0,Boys,Single,Both,0.5,0.5,0.6,0.5,0.87,"[""Study Room"", ""Water Cooler"", ""Hot Water"", ""Security Guard""]",0,0.0,1.0,0.0,0,0,1,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",NUST,Social Sciences,Non-smoker,3,Early bird,No guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-159,Female,BBA,2,33.728928,73.0462,14678,23697,0.51,3.8,1,Girls,Dormitory,Non-Veg,0.97,0.03,0.56,0.73,0.35,"[""Library"", ""Refrigerator""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",COMSATS,BBA,Non-smoker,4,Early bird,Frequent guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-160,Female,Social Sciences,2,33.640592,72.992804,10873,20376,0.6,6.0,1,Girls,Double,Non-Veg,0.43,0.57,0.11,0.57,0.5,"[""Library"", ""Lounge"", ""Rooftop Access"", ""Microwave""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Mardan,"Urdu, English, Pashto, French",NUST,Social Sciences,Non-smoker,4,Early bird,Frequent guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-161,Female,BBA,4,33.690612,73.05261,14168,36286,0.71,2.2,0,Girls,Single,Non-Veg,0.68,0.32,0.92,0.71,0.67,"[""Rooftop Access"", ""Prayer Room"", ""Lounge""]",0,0.0,0.0,0.0,0,0,0,0,Gilgiti,Nagar,"Urdu, English, Shina, Burushaski",FAST NUCES,BBA,Don't mind,5,Early bird,No guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-162,Male,Computer Science,3,33.646537,72.984284,11152,32992,0.32,5.1,1,Boys,Single,Non-Veg,0.49,0.51,0.67,0.19,0.62,"[""Study Room"", ""Prayer Room""]",0,0.0,1.0,0.0,0,0,0,0,Balochi,Khuzdar,"Urdu, English, Balochi",NUST,Computer Science,Non-smoker,5,Early bird,Frequent guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-163,Male,BBA,4,33.642511,72.997688,7484,14338,0.04,6.3,1,Boys,Single,Non-Veg,0.84,0.16,0.53,0.89,0.84,"[""Refrigerator"", ""Security Guard"", ""Library"", ""Microwave""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi, Kashmiri",COMSATS,BBA,Non-smoker,2,Early bird,Occasional guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-164,Female,Cyber Security,1,33.644866,72.988054,14190,21474,0.16,1.3,0,Girls,Dormitory,Both,0.56,0.44,0.85,0.73,0.84,"[""Prayer Room""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi",FAST NUCES,Cyber Security,Don't mind,3,Night owl,No guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-165,Male,Software Engineering,3,33.734698,73.086592,9637,26162,0.27,2.3,0,Boys,Dormitory,Both,0.64,0.36,0.17,0.62,0.72,"[""Laundry"", ""Microwave"", ""CCTV""]",0,0.0,0.0,0.0,1,0,0,0,Gilgiti,Hunza,"Urdu, English, Shina, Burushaski",FAST NUCES,Software Engineering,Non-smoker,4,Early bird,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-166,Female,Cyber Security,1,33.727689,73.096891,10851,22883,0.03,1.4,0,Girls,Single,Non-Veg,0.88,0.12,0.37,0.24,0.45,"[""Iron"", ""Microwave"", ""Common Room"", ""Laundry""]",0,0.0,0.0,0.0,1,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi",Air University,Cyber Security,Non-smoker,3,Early bird,No guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-167,Male,Data Science,4,33.712794,73.039823,6050,28763,0.16,3.1,0,Boys,Double,Veg,0.18,0.82,0.74,0.3,0.46,"[""WiFi"", ""Water Cooler"", ""Common Room""]",1,0.0,0.0,0.0,0,0,0,0,Gilgiti,Skardu,"Urdu, English, Shina, Burushaski",FAST NUCES,Data Science,Non-smoker,2,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-168,Female,Cyber Security,2,33.652407,73.000586,9888,19867,0.47,5.3,1,Girls,Single,Both,0.3,0.7,0.86,0.3,0.92,"[""Lounge"", ""Cafeteria""]",0,0.0,0.0,1.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",FAST NUCES,Cyber Security,Non-smoker,4,Early bird,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-169,Male,Cyber Security,1,33.648869,72.988536,8785,30086,0.23,6.3,1,Boys,Single,Non-Veg,0.52,0.48,0.26,0.04,0.12,"[""CCTV"", ""Water Cooler"", ""Laundry""]",0,0.0,0.0,0.0,1,0,0,0,Gilgiti,Nagar,"Urdu, English, Shina, Burushaski, Kashmiri",FAST NUCES,Cyber Security,Non-smoker,3,Early bird,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-170,Female,Cyber Security,2,33.691288,73.042684,7892,14090,0.56,1.2,0,Girls,Dormitory,Both,0.11,0.89,0.85,0.93,0.18,"[""CCTV"", ""Study Room"", ""Water Cooler""]",0,0.0,1.0,0.0,0,0,0,0,Pathan,Kohat,"Urdu, English, Pashto",FAST NUCES,Cyber Security,Non-smoker,4,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-171,Male,Computer Science,3,33.732638,73.087249,13216,29911,0.79,1.8,0,Boys,Dormitory,Non-Veg,0.41,0.59,0.3,0.5,0.42,"[""Microwave"", ""Iron""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Kohat,"Urdu, English, Pashto",FAST NUCES,Computer Science,Non-smoker,5,Night owl,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-172,Male,Electrical Engineering,4,33.686945,73.044228,14447,33631,0.39,6.2,1,Boys,Single,Non-Veg,0.41,0.59,0.65,0.04,0.05,"[""Refrigerator"", ""CCTV"", ""Cafeteria"", ""Lounge""]",0,0.0,0.0,1.0,0,0,0,0,Gilgiti,Hunza,"Urdu, English, Shina, Burushaski",FAST NUCES,Electrical Engineering,Non-smoker,4,Early bird,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-173,Male,BBA,3,33.738299,73.092736,8088,26103,0.27,6.3,1,Boys,Single,Both,0.1,0.9,0.8,0.04,0.99,"[""Hot Water"", ""WiFi""]",1,0.0,0.0,0.0,0,0,1,0,Gilgiti,Skardu,"Urdu, English, Shina, Burushaski",FAST NUCES,BBA,Don't mind,5,Night owl,Occasional guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-174,Male,Computer Science,4,33.648281,72.99818,14624,35447,0.82,6.2,1,Boys,Single,Non-Veg,0.41,0.59,0.77,0.6,0.34,"[""AC"", ""Security Guard""]",0,0.0,0.0,0.0,0,1,0,0,Punjabi,Multan,"Urdu, English, Punjabi, French",FAST NUCES,Computer Science,Non-smoker,2,Night owl,Frequent guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-175,Male,Electrical Engineering,3,33.728025,73.041178,13630,28898,0.83,7.0,1,Boys,Double,Veg,0.89,0.11,0.15,0.04,0.88,"[""WiFi""]",1,0.0,0.0,0.0,0,0,0,0,Balochi,Zhob,"Urdu, English, Balochi",FAST NUCES,Electrical Engineering,Non-smoker,4,Early bird,No guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-176,Male,Data Science,4,33.722083,73.056616,5755,20393,0.48,3.5,0,Boys,Single,Veg,0.6,0.4,0.32,0.84,0.3,"[""Water Cooler""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",NUST,Data Science,Non-smoker,5,Night owl,Frequent guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-177,Female,Electrical Engineering,1,33.72359,73.092207,6118,18755,0.67,6.4,1,Girls,Dormitory,Non-Veg,0.61,0.39,0.84,0.4,0.52,"[""CCTV""]",0,0.0,0.0,0.0,0,0,0,0,Balochi,Khuzdar,"Urdu, English, Balochi",FAST NUCES,Electrical Engineering,Smoker,4,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-178,Male,Software Engineering,3,33.726129,73.094883,10319,26460,0.27,4.5,1,Boys,Double,Both,0.46,0.54,0.86,0.35,0.97,"[""Library""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Hyderabad,"Urdu, English, Sindhi",FAST NUCES,Software Engineering,Non-smoker,4,Night owl,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-179,Female,Civil Engineering,1,33.720023,73.100504,5761,13946,0.15,6.3,1,Girls,Dormitory,Both,0.1,0.9,0.01,0.24,0.82,"[""Rooftop Access"", ""Refrigerator"", ""Iron""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Multan,"Urdu, English, Punjabi",FAST NUCES,Civil Engineering,Smoker,4,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-180,Male,Software Engineering,2,33.721103,73.052508,6377,14523,0.53,3.2,0,Boys,Dormitory,Both,0.73,0.27,0.91,0.08,0.19,"[""Common Room"", ""Library""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Karachi,"Urdu, English, Sindhi, Kashmiri",FAST NUCES,Software Engineering,Smoker,3,Early bird,Frequent guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-181,Male,Data Science,2,33.738646,73.091658,13000,31273,0.99,6.9,1,Boys,Dormitory,Veg,0.39,0.61,0.68,0.98,0.03,"[""Cafeteria"", ""Parking"", ""AC"", ""Common Room""]",0,0.0,0.0,1.0,0,1,0,0,Sindhi,Larkana,"Urdu, English, Sindhi, Arabic",FAST NUCES,Data Science,Non-smoker,4,Night owl,Frequent guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-182,Male,BBA,3,33.688029,73.039171,6437,31199,0.67,3.9,1,Boys,Double,Non-Veg,0.57,0.43,0.2,0.9,0.11,"[""Parking"", ""Common Room"", ""Study Room"", ""Rooftop Access""]",0,0.0,1.0,0.0,0,0,0,0,Punjabi,Multan,"Urdu, English, Punjabi",FAST NUCES,BBA,Smoker,3,Night owl,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-183,Female,Computer Science,3,33.645719,72.990326,9677,33279,0.01,4.9,1,Girls,Double,Non-Veg,0.57,0.43,0.15,0.07,1.0,"[""Refrigerator"", ""Water Cooler"", ""Prayer Room""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi, French",FAST NUCES,Computer Science,Non-smoker,2,Night owl,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-184,Male,Data Science,1,33.650004,72.985205,9727,23447,0.06,6.6,1,Boys,Dormitory,Non-Veg,0.52,0.48,0.31,0.16,0.17,"[""Common Room"", ""Hot Water""]",0,0.0,0.0,0.0,0,0,1,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",COMSATS,Data Science,Non-smoker,2,Early bird,Frequent guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-185,Female,Software Engineering,4,33.728575,73.053986,14467,25402,0.55,3.8,1,Girls,Single,Non-Veg,0.56,0.44,0.7,0.79,0.63,"[""Security Guard"", ""Laundry""]",0,0.0,0.0,0.0,1,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",Air University,Software Engineering,Don't mind,4,Night owl,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-186,Male,BBA,3,33.723723,73.094917,13177,36210,0.6,4.8,1,Boys,Double,Non-Veg,0.73,0.27,0.6,0.48,0.82,"[""Prayer Room"", ""Lounge"", ""Library""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi",NUST,BBA,Don't mind,3,Early bird,Occasional guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-187,Male,Civil Engineering,4,33.720073,73.085922,8705,27731,0.84,1.0,0,Boys,Double,Non-Veg,0.59,0.41,0.62,0.64,0.03,"[""Microwave""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",FAST NUCES,Civil Engineering,Non-smoker,4,Night owl,Occasional guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-188,Female,Cyber Security,1,33.729863,73.053066,13328,24661,0.7,5.1,1,Girls,Single,Veg,0.21,0.79,0.21,0.44,0.07,"[""Parking"", ""CCTV"", ""Cafeteria""]",0,0.0,0.0,1.0,0,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi, Kashmiri",IIUI,Cyber Security,Non-smoker,5,Night owl,Occasional guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-189,Female,Social Sciences,1,33.644736,72.998516,14551,33730,0.83,6.4,1,Girls,Double,Veg,0.11,0.89,0.05,0.85,0.55,"[""Lounge"", ""Iron"", ""Gym""]",0,1.0,0.0,0.0,0,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi",FAST NUCES,Social Sciences,Non-smoker,4,Night owl,No guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-190,Male,Electrical Engineering,2,33.691266,73.045135,14029,38375,0.29,2.3,0,Boys,Single,Veg,0.53,0.47,0.28,0.5,0.16,"[""Hot Water"", ""Library"", ""Refrigerator"", ""Security Guard""]",0,0.0,0.0,0.0,0,0,1,0,Pathan,Kohat,"Urdu, English, Pashto, French",FAST NUCES,Electrical Engineering,Don't mind,2,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-191,Male,Civil Engineering,2,33.729511,73.044565,8660,14728,0.93,4.3,1,Boys,Double,Both,0.07,0.93,0.58,0.54,0.45,"[""Laundry""]",0,0.0,0.0,0.0,1,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",COMSATS,Civil Engineering,Smoker,2,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-192,Male,Cyber Security,2,33.739343,73.098548,6414,25274,0.59,2.1,0,Boys,Double,Non-Veg,0.51,0.49,0.06,0.86,0.96,"[""Laundry"", ""Microwave"", ""Refrigerator""]",0,0.0,0.0,0.0,1,0,0,0,Pathan,Mardan,"Urdu, English, Pashto",FAST NUCES,Cyber Security,Non-smoker,3,Early bird,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-193,Male,Electrical Engineering,3,33.64918,72.991124,14443,26226,0.84,5.2,1,Boys,Double,Veg,0.67,0.33,0.2,0.74,0.69,"[""Rooftop Access""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Electrical Engineering,Smoker,2,Early bird,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-194,Female,Cyber Security,4,33.693681,73.039811,10813,19666,0.72,7.0,1,Girls,Double,Non-Veg,0.25,0.75,0.77,0.09,0.51,"[""Gym"", ""Laundry"", ""Study Room"", ""Rooftop Access""]",0,1.0,1.0,0.0,1,0,0,0,Pathan,Mardan,"Urdu, English, Pashto",FAST NUCES,Cyber Security,Non-smoker,5,Night owl,Frequent guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-195,Male,Electrical Engineering,3,33.65566,73.002686,8659,16078,0.71,5.7,1,Boys,Dormitory,Both,0.9,0.1,0.69,0.32,0.25,"[""Laundry""]",0,0.0,0.0,0.0,1,0,0,0,Sindhi,Sukkur,"Urdu, English, Sindhi",Air University,Electrical Engineering,Non-smoker,4,Early bird,Occasional guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
